Municipio;Densidade;Area;Populacao;NivelDensidade;CasosCovid19
Castanheiras (RO);4;892,8;3571;Baixo;0
Chupinguaia (RO);1,62;5126,7;8305;Baixo;0
Cujubim (RO);4,1;3863,9;15842;Baixo;0
Governador Jorge Teixeira (RO);2,07;5067,4;10490;Baixo;0
Itapuã do Oeste (RO);2,1;4081,6;8571;Baixo;0
Ministro Andreazza (RO);12,97;798,1;10351;Baixo;0
Mirante da Serra (RO);9,97;1191,9;11883;Baixo;0
Monte Negro (RO);7,3;1931,4;14099;Baixo;0
Nova União (RO);9,28;807,1;7490;Baixo;0
Parecis (RO);1,89;2548,7;4817;Baixo;0
Pimenteiras do Oeste (RO);0,38;6014,7;2286;Baixo;0
Primavera de Rondônia (RO);5,82;605,7;3525;Baixo;0
São Felipe D'Oeste (RO);11,11;541,6;6017;Baixo;0
São Francisco do Guaporé (RO);1,46;10959,8;16001;Baixo;0
Seringueiras (RO);3,08;3773,5;11622;Baixo;0
Teixeirópolis (RO);10,63;460;4890;Baixo;0
Theobroma (RO);4,85;2197,4;10657;Baixo;0
Urupá (RO);15,6;831,9;12978;Baixo;0
Vale do Anari (RO);2,99;3135,1;9374;Baixo;0
Vale do Paraíso (RO);8,5;965,7;8208;Baixo;0
Acrelândia (AC);6,94;1807,9;12547;Baixo;9
Assis Brasil (AC);1,22;4974,2;6069;Baixo;0
Brasiléia (AC);5,46;3916,5;21384;Baixo;0
Bujari (AC);2,79;3034,8;8467;Baixo;0
Capixaba (AC);5,17;1702,6;8802;Baixo;0
Cruzeiro do Sul (AC);8,94;8779,2;78486;Baixo;0
Epitaciolândia (AC);9,13;1654,8;15108;Baixo;0
Feijó (AC);1,16;27974,6;32451;Baixo;0
Jordão (AC);1,23;5357,3;6589;Baixo;0
Mâncio Lima (AC);2,79;5453;15214;Baixo;0
Manoel Urbano (AC);0,75;10634,5;7976;Baixo;0
Marechal Thaumaturgo (AC);1,74;8191,7;14254;Baixo;0
Plácido de Castro (AC);8,86;1943,2;17217;Baixo;0
Porto Walter (AC);1,42;6443,9;9150;Baixo;0
Rio Branco (AC);38,03;8835,7;336022;Médio;95
Rodrigues Alves (AC);4,68;3077;14400;Baixo;0
Santa Rosa do Purus (AC);0,76;6145,6;4671;Baixo;0
Senador Guiomard (AC);8,69;2321,5;20174;Baixo;0
Sena Madureira (AC);1,6;23751,3;38002;Baixo;0
Tarauacá (AC);1,76;20171;35501;Baixo;0
Xapuri (AC);3,01;5347,3;16095;Baixo;0
Porto Acre (AC);5,71;2604,7;14873;Baixo;1
Alvarães (AM);2,38;5911,8;14070;Baixo;0
Amaturá (AM);1,99;4758,7;9470;Baixo;0
Anamã (AM);4,16;2453,9;10208;Baixo;0
Anori (AM);2,82;5795,3;16343;Baixo;1
Apuí (AM);0,33;54239,9;17899;Baixo;0
Atalaia do Norte (AM);0,2;76351,9;15270;Baixo;0
Autazes (AM);4,23;7599,4;32145;Baixo;0
Barcelos (AM);0,21;122476;25720;Baixo;0
Barreirinha (AM);4,76;5750,6;27373;Baixo;0
Benjamin Constant (AM);3,8;8793,4;33415;Baixo;0
Beruri (AM);0,9;17250,7;15526;Baixo;0
Boa Vista do Ramos (AM);5,79;2586,8;14978;Baixo;0
Boca do Acre (AM);1,4;21952,8;30734;Baixo;2
Borba (AM);0,79;44251,7;34959;Baixo;0
Caapiranga (AM);1,16;9456,6;10970;Baixo;0
Canutama (AM);0,43;29819,7;12822;Baixo;0
Carauari (AM);1;25767,7;25768;Baixo;0
Careiro (AM);5,37;6091,5;32711;Baixo;0
Careiro da Várzea (AM);9,09;2631,1;23917;Baixo;1
Coari (AM);1,31;57921,9;75878;Baixo;0
Codajás (AM);1,24;18711,5;23202;Baixo;0
Eirunepé (AM);2,04;15011,8;30624;Baixo;0
Envira (AM);2,18;7499,4;16349;Baixo;0
Fonte Boa (AM);1,88;12110,9;22768;Baixo;0
Guajará (AM);1,84;7579,6;13946;Baixo;0
Humaitá (AM);1,34;33071,8;44316;Baixo;0
Ipixuna (AM);1,85;12044,8;22283;Baixo;0
